2026-02-18 07:53:09,767 [main] INFO  marytts.Prosody Starting power-on self test.
2026-02-18 07:53:09,767 [main] INFO  marytts.Prosody Power-on self test complete.
2026-02-18 07:53:09,767 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale it).
2026-02-18 07:53:09,767 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2026-02-18 07:53:09,767 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2026-02-18 07:53:09,767 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale fr).
2026-02-18 07:53:09,767 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:09,770 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:09,770 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale fr).
2026-02-18 07:53:09,770 [main] INFO  marytts.Preprocess Starting power-on self test.
2026-02-18 07:53:09,771 [main] INFO  marytts.Preprocess Power-on self test complete.
2026-02-18 07:53:09,771 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale fr).
2026-02-18 07:53:09,771 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:09,771 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:09,771 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale sv).
2026-02-18 07:53:09,771 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:09,771 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:09,771 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale sv).
2026-02-18 07:53:09,771 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:09,771 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:09,771 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale te).
2026-02-18 07:53:09,780 [main] INFO  marytts.JTokeniser Starting power-on self test.
2026-02-18 07:53:09,780 [main] INFO  marytts.JTokeniser Power-on self test complete.
2026-02-18 07:53:09,780 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2026-02-18 07:53:09,780 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2026-02-18 07:53:09,780 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2026-02-18 07:53:09,780 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale te).
2026-02-18 07:53:09,780 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:09,780 [main] INFO  marytts.JPhonemiser Power-on self test complete.
